model,split,step,loss
Gemma 4 12B QLoRA,train,10,0.9618428230
Gemma 4 12B QLoRA,train,20,0.6806119442
Gemma 4 12B QLoRA,train,30,0.2103333950
Gemma 4 12B QLoRA,train,40,0.0982612073
Gemma 4 12B QLoRA,train,50,0.0874516368
Gemma 4 12B QLoRA,train,60,0.1862433195
Gemma 4 12B QLoRA,train,70,0.0399606079
Gemma 4 12B QLoRA,train,80,0.1185671091
Gemma 4 12B QLoRA,train,90,0.0781549513
Gemma 4 12B QLoRA,train,100,0.0555264831
Gemma 4 12B QLoRA,train,110,0.0783387423
Gemma 4 12B QLoRA,train,120,0.0308494329
Gemma 4 12B QLoRA,train,130,0.1651263952
Gemma 4 12B QLoRA,train,140,0.0591181636
Gemma 4 12B QLoRA,train,150,0.0950548649
Gemma 4 12B QLoRA,train,160,0.0856182694
Gemma 4 12B QLoRA,train,170,0.0317890465
Gemma 4 12B QLoRA,train,180,0.0954743087
Gemma 4 12B QLoRA,train,190,0.0437654614
Gemma 4 12B QLoRA,train,200,0.0612137973
Gemma 4 12B QLoRA,train,210,0.0491376311
Gemma 4 12B QLoRA,train,220,0.0325509399
Gemma 4 12B QLoRA,train,230,0.0788806379
Gemma 4 12B QLoRA,train,240,0.0238641620
Gemma 4 12B QLoRA,train,250,0.0616548300
Gemma 4 12B QLoRA,train,260,0.0332659155
Gemma 4 12B QLoRA,train,270,0.0426789463
Gemma 4 12B QLoRA,train,280,0.0584269106
Gemma 4 12B QLoRA,train,290,0.0168969750
Gemma 4 12B QLoRA,validation,50,0.1590058804
Gemma 4 12B QLoRA,validation,100,0.0750134885
Gemma 4 12B QLoRA,validation,150,0.0751607567
Gemma 4 12B QLoRA,validation,200,0.0482403859
Gemma 4 12B QLoRA,validation,250,0.0444167294
Gemma 4 12B QLoRA,validation,291,0.0436911620
Gemma 4 E4B LoRA,train,10,0.2254572213
Gemma 4 E4B LoRA,train,20,0.0711164922
Gemma 4 E4B LoRA,train,30,0.0544679090
Gemma 4 E4B LoRA,train,40,0.0566192940
Gemma 4 E4B LoRA,train,50,0.0534728542
Gemma 4 E4B LoRA,train,60,0.0459209941
Gemma 4 E4B LoRA,train,70,0.0505617745
Gemma 4 E4B LoRA,train,80,0.0504003838
Gemma 4 E4B LoRA,train,90,0.0511489585
Gemma 4 E4B LoRA,train,100,0.0344256721
Gemma 4 E4B LoRA,train,110,0.0410045572
Gemma 4 E4B LoRA,train,120,0.0324327759
Gemma 4 E4B LoRA,train,130,0.0279181842
Gemma 4 E4B LoRA,train,140,0.0363408923
Gemma 4 E4B LoRA,train,150,0.0367768854
Gemma 4 E4B LoRA,train,160,0.0314473175
Gemma 4 E4B LoRA,train,170,0.0308388434
Gemma 4 E4B LoRA,train,180,0.0269079842
Gemma 4 E4B LoRA,train,190,0.0233805645
Gemma 4 E4B LoRA,train,200,0.0195978731
Gemma 4 E4B LoRA,train,210,0.0210719239
Gemma 4 E4B LoRA,train,220,0.0147905592
Gemma 4 E4B LoRA,train,230,0.0170408059
Gemma 4 E4B LoRA,train,240,0.0180907845
Gemma 4 E4B LoRA,train,250,0.0187526494
Gemma 4 E4B LoRA,train,260,0.0122424122
Gemma 4 E4B LoRA,train,270,0.0157953016
Gemma 4 E4B LoRA,train,280,0.0109559027
Gemma 4 E4B LoRA,train,290,0.0165290758
Gemma 4 E4B LoRA,validation,50,0.0500217117
Gemma 4 E4B LoRA,validation,100,0.0476257950
Gemma 4 E4B LoRA,validation,150,0.0397180580
Gemma 4 E4B LoRA,validation,200,0.0411289670
Gemma 4 E4B LoRA,validation,250,0.0406218395
Gemma 4 E4B LoRA,validation,291,0.0403818972
Qwen3-14B QLoRA,train,10,0.7958184719
Qwen3-14B QLoRA,train,20,0.4869286060
Qwen3-14B QLoRA,train,30,0.1251524568
Qwen3-14B QLoRA,train,40,0.0992872596
Qwen3-14B QLoRA,train,50,0.0801183164
Qwen3-14B QLoRA,train,60,0.0692072570
Qwen3-14B QLoRA,train,70,0.0816485941
Qwen3-14B QLoRA,train,80,0.0664357305
Qwen3-14B QLoRA,train,90,0.0682029009
Qwen3-14B QLoRA,train,100,0.0539618671
Qwen3-14B QLoRA,train,110,0.0509253860
Qwen3-14B QLoRA,train,120,0.0483354867
Qwen3-14B QLoRA,train,130,0.0474971771
Qwen3-14B QLoRA,train,140,0.0557146728
Qwen3-14B QLoRA,train,150,0.0555770457
Qwen3-14B QLoRA,train,160,0.0524801075
Qwen3-14B QLoRA,train,170,0.0433012456
Qwen3-14B QLoRA,train,180,0.0410144687
Qwen3-14B QLoRA,train,190,0.0367284149
Qwen3-14B QLoRA,train,200,0.0345089406
Qwen3-14B QLoRA,train,210,0.0403410643
Qwen3-14B QLoRA,train,220,0.0316027999
Qwen3-14B QLoRA,train,230,0.0345622003
Qwen3-14B QLoRA,train,240,0.0331692576
Qwen3-14B QLoRA,train,250,0.0383920521
Qwen3-14B QLoRA,train,260,0.0271670640
Qwen3-14B QLoRA,train,270,0.0350380570
Qwen3-14B QLoRA,train,280,0.0266268283
Qwen3-14B QLoRA,train,290,0.0368628502
Qwen3-14B QLoRA,validation,50,0.0576593541
