metric,value
max_observed_depth,9
avg_max_depth,2.261667
json_parse_success,0.999167
schema_valid,0.999167
substring_valid,0.9975
depth_compliant,0.999167
forbidden_role_count,0.003333
node_count,4.008333
attribute_count,0.926667
child_link_count,1.753333
judge_unit_count,6.688333
judge_coverage,1
correct_unit_yield,16.666667
deterministic_compliance_rate,0.9975
forbidden_role_affected_rate,0.003333
content_token_coverage,0.966309
exact_duplicate_rate,0.002098
containment_rate,0.108385
normalized_chain_depth,0.615315
strict_unit_precision,0.919028
role_correctness,0.956188
attachment_correctness,0.926321
p95_max_depth,5
sample_count,300
span_count,828
