metric,value
max_observed_depth,1
avg_max_depth,0.9975
json_parse_success,0.9975
schema_valid,0.9975
substring_valid,0.9975
depth_compliant,0.9975
forbidden_role_count,0.001667
node_count,3.005556
attribute_count,1.416389
child_link_count,0
judge_unit_count,4.421944
judge_coverage,1
correct_unit_yield,11.183333
deterministic_compliance_rate,0.9975
forbidden_role_affected_rate,0.001667
content_token_coverage,0.940244
exact_duplicate_rate,0.00263
containment_rate,0.005719
normalized_chain_depth,0.407646
strict_unit_precision,0.926215
role_correctness,0.94914
attachment_correctness,0.911612
p95_max_depth,1
sample_count,300
span_count,828
